t,v
0,000;8,46
0,005;8,46
0,010;8,46
0,015;8,46
0,020;8,46
0,025;8,46
0,030;8,45
0,035;8,46
0,040;8,45
0,045;8,46
0,050;8,45
0,055;8,45
0,060;8,46
0,065;8,46
0,070;8,46
0,075;8,46
0,080;8,46
0,085;8,45
0,090;8,45
0,095;8,45
0,100;8,43
0,105;8,45
0,110;8,43
0,115;8,45
0,120;8,45
0,125;8,46
0,130;8,46
0,135;8,45
0,140;8,46
0,145;8,46
0,150;8,46
0,155;8,45
0,160;8,45
0,165;8,45
0,170;8,46
0,175;8,45
0,180;8,45
0,185;8,46
0,190;8,46
0,195;8,46
0,200;8,48
0,205;8,46
0,210;8,45
0,215;8,45
0,220;8,45
0,225;8,45
0,230;8,46
0,235;8,46
0,240;8,45
0,245;8,46
0,250;8,46
0,255;8,45
0,260;8,43
0,265;8,45
0,270;8,46
0,275;8,46
0,280;8,46
0,285;8,45
0,290;8,46
0,295;8,48
0,300;8,46
0,305;8,46
0,310;8,46
0,315;8,48
0,320;8,46
0,325;8,46
0,330;8,48
0,335;8,46
0,340;8,46
0,345;8,48
0,350;8,48
0,355;8,45
0,360;8,46
0,365;8,46
0,370;8,46
0,375;8,46
0,380;8,46
0,385;8,46
0,390;8,46
0,395;8,48
0,400;8,46
0,405;8,45
0,410;8,46
0,415;8,48
0,420;8,46
0,425;8,46
0,430;8,45
0,435;8,46
0,440;8,45
0,445;8,45
0,450;8,45
0,455;8,45
0,460;8,45
0,465;8,45
0,470;8,45
0,475;8,45
0,480;8,43
0,485;8,45
0,490;8,45
0,495;8,45
0,500;8,46
0,505;8,46
0,510;8,48
0,515;8,45
0,520;8,46
0,525;8,48
0,530;8,48
0,535;8,46
0,540;8,46
0,545;8,45
0,550;8,46
0,555;8,45
0,560;8,46
0,565;8,46
0,570;8,48
0,575;8,46
0,580;8,45
0,585;8,48
0,590;8,46
0,595;8,46
0,600;8,48
0,605;8,45
0,610;8,45
0,615;8,46
0,620;8,46
0,625;8,45
0,630;8,46
0,635;8,46
0,640;8,46
0,645;8,46
0,650;8,45
0,655;8,46
0,660;8,46
0,665;8,50
0,670;8,46
0,675;8,48
0,680;8,48
0,685;8,46
0,690;8,48
0,695;8,48
0,700;8,48
0,705;8,48
0,710;8,46
0,715;8,50
0,720;8,48
0,725;8,46
0,730;8,48
0,735;8,48
0,740;8,48
0,745;8,48
0,750;8,46
0,755;8,48
0,760;8,48
0,765;8,46
0,770;8,46
0,775;8,46
0,780;8,46
0,785;8,45
0,790;8,45
0,795;8,46
0,800;8,46
0,805;8,46
0,810;8,48
0,815;8,48
0,820;8,48
0,825;8,46
0,830;8,48
0,835;8,46
0,840;8,45
0,845;8,48
0,850;8,46
0,855;8,46
0,860;8,50
0,865;8,48
0,870;8,46
0,875;8,48
0,880;8,46
0,885;8,48
0,890;8,46
0,895;8,45
0,900;8,46
0,905;8,45
0,910;8,46
0,915;8,46
0,920;8,45
0,925;8,46
0,930;8,46
0,935;8,46
0,940;8,46
0,945;8,48
0,950;8,48
0,955;8,46
0,960;8,46
0,965;8,45
0,970;8,46
0,975;8,46
0,980;8,48
0,985;8,46
0,990;8,46
0,995;8,48
1,000;8,46
1,005;8,48
1,010;8,46
1,015;8,46
1,020;8,46
1,025;8,48
1,030;8,43
1,035;8,45
1,040;8,46
1,045;8,43
1,050;8,46
1,055;8,46
1,060;8,45
1,065;8,46
1,070;8,45
1,075;8,45
1,080;8,45
1,085;8,45
1,090;8,46
1,095;8,45
1,100;8,45
1,105;8,45
1,110;8,46
1,115;8,43
1,120;8,43
1,125;8,45
1,130;8,48
1,135;8,45
1,140;8,46
1,145;8,46
1,150;8,46
1,155;8,46
1,160;8,45
1,165;8,45
1,170;8,46
1,175;8,46
1,180;8,46
1,185;8,45
1,190;8,45
1,195;8,45
1,200;8,45
1,205;8,43
1,210;8,43
1,215;8,43
1,220;8,45
1,225;8,45
1,230;8,46
1,235;8,46
1,240;8,45
1,245;8,43
1,250;8,43
1,255;8,45
1,260;8,43
1,265;8,45
1,270;8,45
1,275;8,45
1,280;8,45
1,285;8,43
1,290;8,42
1,295;8,43
1,300;8,45
1,305;8,45
1,310;8,46
1,315;8,45
1,320;8,46
1,325;8,45
1,330;8,46
1,335;8,45
1,340;8,43
1,345;8,46
1,350;8,46
1,355;8,43
1,360;8,45
1,365;8,43
1,370;8,46
1,375;8,46
1,380;8,45
1,385;8,46
1,390;8,45
1,395;8,43
1,400;8,45
1,405;8,45
1,410;8,45
1,415;8,43
1,420;8,46
1,425;8,46
1,430;8,45
1,435;8,45
1,440;8,46
1,445;8,46
1,450;8,45
1,455;8,45
1,460;8,43
1,465;8,45
1,470;8,43
1,475;8,45
1,480;8,45
1,485;8,46
1,490;8,46
1,495;8,45
1,500;8,45
1,505;8,45
1,510;8,45
1,515;8,45
1,520;8,43
1,525;8,46
1,530;8,45
1,535;8,48
1,540;8,46
1,545;8,45
1,550;8,45
1,555;8,45
1,560;8,46
1,565;8,46
1,570;8,46
1,575;8,43
1,580;8,43
1,585;8,45
1,590;8,45
1,595;8,45
1,600;8,45
1,605;8,45
1,610;8,46
