t;v
0.000;-0.06
0.005;-0.06
0.010;-0.05
0.015;-0.06
0.020;-0.06
0.025;-0.06
0.030;-0.08
0.035;-0.06
0.040;-0.05
0.045;-0.06
0.050;-0.06
0.055;-0.06
0.060;-0.10
0.065;-0.08
0.070;-0.08
0.075;-0.10
0.080;-0.06
0.085;-0.05
0.090;-0.06
0.095;-0.05
0.100;-0.05
0.105;-0.06
0.110;-0.06
0.115;-0.06
0.120;-0.06
0.125;-0.08
0.130;-0.06
0.135;-0.06
0.140;-0.08
0.145;-0.05
0.150;-0.08
0.155;-0.06
0.160;-0.06
0.165;-0.06
0.170;-0.06
0.175;-0.06
0.180;-0.06
0.185;-0.06
0.190;-0.06
0.195;-0.08
0.200;-0.08
0.205;-0.10
0.210;-0.06
0.215;-0.06
0.220;-0.06
0.225;-0.06
0.230;-0.06
0.235;-0.08
0.240;-0.06
0.245;-0.08
0.250;-0.06
0.255;-0.06
0.260;-0.06
0.265;-0.06
0.270;-0.06
0.275;-0.08
0.280;-0.06
0.285;-0.08
0.290;-0.05
0.295;-0.06
0.300;-0.06
0.305;-0.06
0.310;-0.06
0.315;-0.06
0.320;-0.06
0.325;-0.06
0.330;-0.06
0.335;-0.05
0.340;-0.05
0.345;-0.06
0.350;-0.06
0.355;-0.08
0.360;-0.06
0.365;-0.06
0.370;-0.06
0.375;-0.08
0.380;-0.08
0.385;-0.08
0.390;-0.06
0.395;-0.06
0.400;-0.06
0.405;-0.05
0.410;-0.08
0.415;-0.06
0.420;-0.06
0.425;-0.05
0.430;-0.06
0.435;-0.06
0.440;-0.05
0.445;-0.06
0.450;-0.08
0.455;-0.08
0.460;-0.06
0.465;-0.06
0.470;-0.05
0.475;-0.03
0.480;-0.06
0.485;-0.06
0.490;-0.05
0.495;-0.06
0.500;-0.05
0.505;-0.05
0.510;-0.06
0.515;-0.06
0.520;-0.06
0.525;-0.05
0.530;-0.05
0.535;-0.06
0.540;-0.06
0.545;-0.06
0.550;-0.05
0.555;-0.06
0.560;-0.05
0.565;-0.06
0.570;-0.05
0.575;-0.05
0.580;-0.05
0.585;-0.05
0.590;-0.06
0.595;-0.06
0.600;-0.05
0.605;-0.05
0.610;-0.06
0.615;-0.05
0.620;-0.05
0.625;-0.06
0.630;-0.06
0.635;-0.06
0.640;-0.05
0.645;-0.06
0.650;-0.06
0.655;-0.06
0.660;-0.08
0.665;-0.06
0.670;-0.08
0.675;-0.08
0.680;-0.06
0.685;-0.06
0.690;-0.08
0.695;-0.06
0.700;-0.05
0.705;-0.08
0.710;-0.06
0.715;-0.06
0.720;-0.08
0.725;-0.08
0.730;-0.06
0.735;-0.08
0.740;-0.08
0.745;-0.08
0.750;-0.06
0.755;-0.08
0.760;-0.08
0.765;-0.06
0.770;-0.06
0.775;-0.06
0.780;-0.06
0.785;-0.06
0.790;-0.05
0.795;-0.06
0.800;-0.05
0.805;-0.05
0.810;-0.06
0.815;-0.08
0.820;-0.06
0.825;-0.08
0.830;-0.08
0.835;-0.08
0.840;-0.06
0.845;-0.08
0.850;-0.08
0.855;-0.08
0.860;-0.08
0.865;-0.05
0.870;-0.08
0.875;-0.08
0.880;-0.08
0.885;-0.06
0.890;-0.06
